CATALOG_ID,SEED,CLASS,SHIP_TYPE,MCR_PERCENT,CRUISING_SPEED_KT,ROTACIONAL_FREQUENCY,LENGTH_M,DRAFT_M,N_BLADES,N_SHAFTS,NB_LOWER,NB_MEDIUM,NB_GREATER,NB_ISOLATED,NB_OSCILLATING,NB_concentrated
227,269,Service,recreational,0.61,15.0,101.0,30.0,2.0,4,1,0.2,0.0,0.1,0.01,0.0,0.11
228,270,Cargo,bulker,0.79,10.0,55.0,283.0,11.73,4,1,0.27,0.08,0.0,0.0,0.18,0.0
229,271,Service,fishing,0.6,12.0,170.0,27.0,3.0,4,1,0.05,0.0,0.05,0.05,0.05,0.25
230,272,Service,recreational,0.75,18.0,115.0,33.0,2.0,4,1,0.3,0.0,0.2,0.2,0.0,0.3
231,273,Cargo,tanker,0.78,8.27,141.0,132.0,7.0,4,1,0.44,0.04,0.0,0.0,0.0,0.02
232,274,Cargo,tanker,0.77,8.08,139.0,129.0,7.0,4,1,0.43,0.03,0.0,0.0,0.0,0.01
233,275,Cargo,tanker,0.86,10.54,138.0,127.0,6.0,4,1,0.55,0.15,0.0,0.0,0.0,0.08
234,276,Cargo,tanker,0.81,8.99,146.0,277.0,8.0,5,1,0.47,0.07,0.0,0.0,0.0,0.04
235,277,Cargo,tanker,0.89,11.11,137.0,125.0,6.0,4,1,0.58,0.18,0.0,0.0,0.0,0.09
236,278,Service,recreational,0.74,17.0,109.0,32.0,2.0,4,1,0.29,0.0,0.19,0.18,0.0,0.28
237,279,Service,recreational,0.66,18.0,113.0,33.0,2.0,4,1,0.24,0.0,0.14,0.08,0.0,0.18
238,280,Cargo,containership,0.72,14.0,59.0,159.0,10.0,6,1,0.36,0.0,0.0,0.0,0.0,0.0
239,281,Service,dredger,0.75,6.0,122.0,72.0,4.0,4,1,0.0,0.93,0.0,0.0,0.0,0.0
240,282,Cargo,vehicle_carrier,0.78,16.0,60.0,171.0,6.68,6,1,0.93,0.0,0.17,0.07,0.07,0.0
241,283,Service,tug,0.77,7.0,221.0,35.0,6.0,4,1,0.27,0.17,0.0,0.17,0.24,0.17
242,284,Cargo,tanker,0.75,7.63,136.0,122.0,6.0,4,1,0.41,0.01,0.0,0.0,0.0,0.0
243,285,Cargo,bulker,0.77,12.0,68.0,249.0,10.4,6,1,0.22,0.06,0.0,0.0,0.16,0.0
244,286,Service,tug,0.75,10.0,251.0,33.0,5.0,6,1,0.25,0.15,0.0,0.15,0.2,0.15
245,287,Service,recreational,0.68,15.0,117.0,34.0,2.0,4,1,0.26,0.0,0.16,0.11,0.0,0.21
246,288,Cargo,bulker,0.79,11.0,59.0,294.0,12.17,6,1,0.29,0.09,0.0,0.0,0.19,0.0
247,289,Cargo,bulker,0.79,11.0,123.0,283.0,11.75,6,1,0.27,0.08,0.0,0.0,0.18,0.0
248,290,Cargo,bulker,0.76,12.0,67.0,244.0,10.21,6,1,0.21,0.05,0.0,0.0,0.15,0.0
249,291,Cargo,containership,0.73,15.0,110.0,283.0,13.0,6,1,0.43,0.0,0.0,0.0,0.0,0.0
250,292,Service,recreational,0.72,16.0,104.0,31.0,2.0,4,1,0.28,0.0,0.18,0.15,0.0,0.25
251,293,Cargo,bulker,0.76,11.0,65.0,236.0,9.89,6,1,0.2,0.05,0.0,0.0,0.15,0.0
252,294,Cargo,tanker,0.78,8.2,140.0,131.0,7.0,4,1,0.44,0.04,0.0,0.0,0.0,0.02
253,295,Service,fishing,0.67,9.0,195.0,24.0,3.0,4,1,0.09,0.0,0.09,0.09,0.09,0.29
254,296,Cargo,bulker,0.73,10.0,52.0,184.0,7.87,4,1,0.11,0.01,0.0,0.0,0.11,0.0
255,297,Cargo,containership,0.73,16.0,105.0,187.0,11.0,6,1,0.41,0.0,0.0,0.0,0.0,0.0
256,298,Service,tug,0.72,8.0,233.0,31.0,4.0,4,1,0.22,0.12,0.0,0.12,0.14,0.12
257,299,Service,recreational,0.65,17.0,111.0,32.0,2.0,4,1,0.24,0.0,0.14,0.07,0.0,0.17
258,300,Service,dredger,0.81,10.0,196.0,146.0,6.0,4,1,0.03,0.26,0.0,0.0,0.0,0.0
259,301,Cargo,containership,0.72,15.0,101.0,171.0,12.0,6,1,0.38,0.0,0.0,0.0,0.0,0.0
260,302,Cargo,bulker,0.8,12.0,67.0,298.0,12.33,6,1,0.29,0.1,0.0,0.0,0.2,0.0
261,303,Service,recreational,0.6,15.0,101.0,30.0,2.0,4,1,0.2,0.0,0.1,0.01,0.0,0.11
262,304,Service,fishing,0.53,7.0,148.0,22.0,2.0,3,1,0.01,0.0,0.01,0.01,0.01,0.21
263,305,Cargo,bulker,0.73,10.0,55.0,198.0,8.41,4,1,0.14,0.02,0.0,0.0,0.12,0.0
264,306,Cargo,containership,0.72,15.0,102.0,175.0,12.0,6,1,0.39,0.0,0.0,0.0,0.0,0.0
265,307,Cargo,vehicle_carrier,0.78,20.0,60.0,179.0,6.59,6,1,0.93,0.0,0.16,0.06,0.06,0.0
266,308,Cargo,tanker,0.78,8.25,140.0,131.0,7.0,4,1,0.44,0.04,0.0,0.0,0.0,0.02
267,309,Service,dredger,0.76,6.0,128.0,78.0,4.0,4,1,0.0,0.21,0.0,0.0,0.0,0.0
268,310,Service,tug,0.76,7.0,255.0,34.0,6.0,4,1,0.26,0.16,0.0,0.16,0.21,0.16
269,311,Cargo,containership,0.74,14.0,58.0,304.0,10.0,6,1,0.46,0.0,0.0,0.0,0.0,0.0
270,312,Service,recreational,0.7,16.0,120.0,35.0,2.0,4,1,0.27,0.0,0.17,0.13,0.0,0.23
271,313,Service,dredger,0.81,10.0,192.0,142.0,6.0,4,1,0.03,1.0,0.0,0.0,0.0,0.0
272,314,Service,dredger,0.77,7.0,145.0,95.0,4.0,4,1,0.01,0.22,0.0,0.0,0.0,0.0
273,315,Service,dredger,0.79,9.0,172.0,122.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
274,316,Cargo,bulker,0.72,10.0,50.0,178.0,7.63,4,1,0.11,0.0,0.0,0.0,0.1,0.0
275,317,Cargo,tanker,0.82,9.35,149.0,283.0,9.0,5,1,0.49,0.09,0.0,0.0,0.0,0.05
276,318,Cargo,bulker,0.78,12.0,121.0,264.0,10.99,4,1,0.24,0.07,0.0,0.0,0.17,0.0
277,319,Service,recreational,0.63,16.0,105.0,31.0,2.0,4,1,0.22,0.0,0.12,0.04,0.0,0.14
278,320,Cargo,bulker,0.76,11.0,64.0,232.0,9.73,6,1,0.19,0.04,0.0,0.0,0.14,0.0
279,321,Cargo,vehicle_carrier,0.76,18.0,54.0,178.0,5.69,6,1,0.86,0.0,0.13,0.03,0.03,0.0
280,322,Cargo,tanker,0.88,10.99,148.0,280.0,9.0,5,1,0.57,0.17,0.0,0.0,0.0,0.09
281,323,Cargo,tanker,0.86,10.43,138.0,127.0,6.0,4,1,0.55,0.15,0.0,0.0,0.0,0.07
282,324,Service,recreational,0.69,16.0,118.0,34.0,2.0,4,1,0.26,0.0,0.16,0.12,0.0,0.22
283,325,Service,tug,0.76,8.0,255.0,34.0,6.0,4,1,0.26,0.16,0.0,0.16,0.21,0.16
284,326,Cargo,vehicle_carrier,0.76,16.0,51.0,173.0,5.26,6,1,0.82,0.0,0.11,0.01,0.01,0.0
285,327,Cargo,containership,0.74,12.0,51.0,309.0,6.0,6,1,0.47,0.0,0.0,0.0,0.0,0.0
286,328,Cargo,bulker,0.77,12.0,70.0,257.0,10.71,6,1,0.23,0.06,0.0,0.0,0.16,0.0
287,329,Service,fishing,0.67,12.0,193.0,27.0,3.0,4,1,0.08,0.0,0.08,0.08,0.08,0.28
288,330,Cargo,bulker,0.8,12.0,69.0,296.0,12.26,4,1,0.29,0.1,0.0,0.0,0.2,0.0
289,331,Service,dredger,0.83,12.0,161.0,176.0,6.0,4,1,0.04,0.28,0.0,0.0,0.0,0.0
290,332,Cargo,bulker,0.74,10.0,57.0,206.0,8.74,4,1,0.15,0.02,0.0,0.0,0.12,0.0
291,333,Cargo,containership,0.73,16.0,106.0,191.0,11.0,6,1,0.41,0.0,0.0,0.0,0.0,0.0
292,334,Cargo,bulker,0.79,10.0,57.0,293.0,12.12,4,1,0.28,0.09,0.0,0.0,0.19,0.0
293,335,Cargo,vehicle_carrier,0.76,17.0,52.0,174.0,5.36,6,1,0.83,0.0,0.11,0.01,0.01,0.0
294,336,Cargo,vehicle_carrier,0.75,16.0,50.0,170.0,5.02,6,1,0.8,0.0,0.1,0.0,0.0,0.0
295,337,Cargo,tanker,0.78,8.31,141.0,132.0,7.0,4,1,0.44,0.04,0.0,0.0,0.0,0.02
296,338,Service,recreational,0.62,15.0,103.0,30.0,2.0,4,1,0.21,0.0,0.11,0.02,0.0,0.12
297,339,Service,tug,0.71,8.0,229.0,31.0,4.0,4,1,0.21,0.11,0.0,0.11,0.13,0.11
298,340,Service,fishing,0.58,11.0,165.0,26.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
299,341,Service,dredger,0.81,10.0,194.0,144.0,6.0,4,1,0.03,0.26,0.0,0.0,0.0,0.0
300,342,Cargo,bulker,0.73,10.0,53.0,190.0,8.1,4,1,0.12,0.01,0.0,0.0,0.11,0.0
301,343,Cargo,bulker,0.74,10.0,56.0,199.0,8.44,4,1,0.14,0.02,0.0,0.0,0.12,0.0
302,344,Cargo,containership,0.72,15.0,101.0,168.0,12.0,6,1,0.38,0.0,0.0,0.0,0.0,0.0
303,345,Service,recreational,0.72,17.0,109.0,32.0,2.0,4,1,0.28,0.0,0.18,0.15,0.0,0.25
304,346,Cargo,vehicle_carrier,0.78,20.0,58.0,176.0,6.4,6,1,0.91,0.0,0.16,0.06,0.06,0.0
305,347,Service,fishing,0.57,10.0,162.0,25.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
306,348,Cargo,tanker,0.88,10.99,145.0,140.0,8.0,5,1,0.57,0.17,0.0,0.0,0.0,0.09
307,349,Cargo,vehicle_carrier,0.77,19.0,56.0,183.0,6.02,6,1,0.88,0.0,0.14,0.04,0.04,0.0
308,350,Service,dredger,0.84,8.0,166.0,116.0,5.0,4,1,0.04,0.98,0.0,0.0,0.0,0.0
309,351,Service,recreational,0.73,17.0,119.0,34.0,2.0,4,1,0.29,0.0,0.19,0.17,0.0,0.27
310,352,Service,dredger,0.84,8.0,156.0,106.0,5.0,4,1,0.04,0.29,0.0,0.0,0.0,0.0
311,353,Service,tug,0.71,7.0,226.0,30.0,4.0,4,1,0.21,0.11,0.0,0.11,0.12,0.11
312,354,Cargo,tanker,0.78,8.36,141.0,133.0,7.0,4,1,0.44,0.04,0.0,0.0,0.0,0.02
313,355,Service,tug,0.72,8.0,230.0,31.0,4.0,4,1,0.22,0.12,0.0,0.12,0.13,0.12
314,356,Cargo,containership,0.73,12.0,109.0,282.0,6.0,6,1,0.43,0.0,0.0,0.0,0.0,0.0
315,357,Service,dredger,0.77,7.0,143.0,93.0,4.0,4,1,0.01,0.22,0.0,0.0,0.0,0.0
316,358,Cargo,containership,0.74,13.0,57.0,296.0,9.0,6,1,0.45,0.0,0.0,0.0,0.0,0.0
317,359,Cargo,bulker,0.73,10.0,52.0,186.0,7.97,4,1,0.12,0.01,0.0,0.0,0.11,0.0
318,360,Service,tug,0.79,8.0,234.0,31.0,4.0,4,1,0.29,0.19,0.0,0.19,0.28,0.19
319,361,Service,recreational,0.74,16.0,119.0,34.0,2.0,4,1,0.29,0.0,0.19,0.18,0.0,0.28
320,362,Service,dredger,0.83,12.0,187.0,168.0,6.0,4,1,0.04,0.95,0.0,0.0,0.0,0.0
321,363,Service,fishing,0.66,7.0,189.0,22.0,2.0,3,1,0.08,0.0,0.08,0.08,0.08,0.28
322,364,Cargo,tanker,0.87,10.64,135.0,120.0,6.0,4,1,0.56,0.16,0.0,0.0,0.0,0.08
323,365,Cargo,vehicle_carrier,0.78,18.0,60.0,179.0,6.69,6,1,0.94,0.0,0.17,0.07,0.07,0.0
324,366,Service,recreational,0.61,15.0,102.0,30.0,2.0,4,1,0.21,0.0,0.11,0.01,0.0,0.11
325,367,Service,recreational,0.61,15.0,101.0,30.0,2.0,4,1,0.2,0.0,0.1,0.01,0.0,0.11
326,368,Cargo,containership,0.74,15.0,104.0,311.0,13.0,6,1,0.48,0.0,0.0,0.0,0.0,0.0
327,369,Service,tug,0.78,9.0,243.0,32.0,5.0,6,1,0.28,0.18,0.0,0.18,0.25,0.18
328,370,Service,dredger,0.76,6.0,135.0,85.0,4.0,4,1,0.01,0.98,0.0,0.0,0.0,0.0
329,371,Service,dredger,0.78,8.0,159.0,109.0,5.0,4,1,0.02,0.23,0.0,0.0,0.0,0.0
330,372,Cargo,bulker,0.73,10.0,53.0,190.0,8.09,4,1,0.12,0.01,0.0,0.0,0.11,0.0
331,373,Cargo,bulker,0.72,10.0,51.0,179.0,7.67,4,1,0.11,0.0,0.0,0.0,0.1,0.0
332,374,Cargo,tanker,0.8,8.83,145.0,275.0,8.0,5,1,0.47,0.07,0.0,0.0,0.0,0.03
333,375,Cargo,containership,0.71,13.0,57.0,149.0,9.0,6,1,0.35,0.0,0.0,0.0,0.0,0.0
334,376,Service,recreational,0.7,18.0,112.0,35.0,2.0,4,1,0.27,0.0,0.17,0.13,0.0,0.23
335,377,Service,dredger,0.77,7.0,150.0,100.0,4.0,4,1,0.01,0.22,0.0,0.0,0.0,0.0
336,378,Service,fishing,0.5,5.0,141.0,20.0,2.0,3,1,0.0,0.0,0.0,0.0,0.0,0.2
337,379,Cargo,containership,0.7,12.0,50.0,123.0,6.0,6,1,0.31,0.0,0.0,0.0,0.0,0.0
338,380,Cargo,tanker,0.89,11.19,139.0,128.0,7.0,4,1,0.58,0.18,0.0,0.0,0.0,0.09
339,381,Cargo,tanker,0.82,9.42,150.0,284.0,9.0,5,1,0.5,0.1,0.0,0.0,0.0,0.05
340,382,Cargo,containership,0.7,12.0,51.0,127.0,6.0,6,1,0.31,0.0,0.0,0.0,0.0,0.0
341,383,Cargo,tanker,0.83,9.56,147.0,279.0,10.0,5,1,0.5,0.1,0.0,0.0,0.0,0.05
342,384,Cargo,containership,0.73,15.0,109.0,281.0,12.0,6,1,0.43,0.0,0.0,0.0,0.0,0.0
343,385,Cargo,vehicle_carrier,0.8,16.0,51.0,172.0,7.31,6,1,0.99,0.0,0.19,0.09,0.09,0.0
344,386,Cargo,containership,0.73,16.0,108.0,199.0,10.0,6,1,0.42,0.0,0.0,0.0,0.0,0.0
345,387,Service,tug,0.74,10.0,248.0,33.0,5.0,6,1,0.24,0.14,0.0,0.14,0.19,0.14
346,388,Cargo,containership,0.74,14.0,100.0,301.0,11.0,6,1,0.46,0.0,0.0,0.0,0.0,0.0
347,389,Cargo,tanker,0.85,10.18,146.0,276.0,8.0,5,1,0.53,0.13,0.0,0.0,0.0,0.07
348,390,Service,dredger,0.81,10.0,192.0,142.0,6.0,4,1,0.03,0.91,0.0,0.0,0.0,0.0
349,391,Service,tug,0.75,10.0,251.0,33.0,5.0,6,1,0.25,0.15,0.0,0.15,0.2,0.15
350,392,Cargo,tanker,0.84,9.96,149.0,283.0,10.0,5,1,0.52,0.12,0.0,0.0,0.0,0.06
351,393,Cargo,bulker,0.75,11.0,61.0,222.0,9.37,6,1,0.17,0.04,0.0,0.0,0.14,0.0
352,394,Cargo,bulker,0.8,10.0,57.0,300.0,12.4,4,1,0.3,0.1,0.0,0.0,0.2,0.0
353,395,Service,dredger,0.79,8.0,167.0,117.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
354,396,Service,dredger,0.76,6.0,126.0,76.0,4.0,4,1,0.0,0.21,0.0,0.0,0.0,0.0
355,397,Service,tug,0.71,7.0,227.0,30.0,4.0,4,1,0.21,0.11,0.0,0.11,0.12,0.11
356,398,Cargo,vehicle_carrier,0.8,19.0,56.0,182.0,7.33,6,1,0.99,0.0,0.19,0.09,0.09,0.0
357,399,Service,dredger,0.75,6.0,124.0,74.0,4.0,4,1,0.0,0.2,0.0,0.0,0.0,0.0
358,400,Cargo,bulker,0.74,11.0,59.0,214.0,9.04,6,1,0.16,0.03,0.0,0.0,0.13,0.0
359,401,Cargo,containership,0.72,15.0,104.0,183.0,13.0,6,1,0.4,0.0,0.0,0.0,0.0,0.0
360,402,Cargo,tanker,0.87,10.79,150.0,285.0,9.0,5,1,0.56,0.16,0.0,0.0,0.0,0.08
361,403,Cargo,bulker,0.74,10.0,57.0,206.0,8.75,4,1,0.15,0.02,0.0,0.0,0.12,0.0
362,404,Cargo,bulker,0.73,10.0,52.0,186.0,7.94,4,1,0.12,0.01,0.0,0.0,0.11,0.0
363,405,Cargo,vehicle_carrier,0.75,16.0,50.0,171.0,5.11,6,1,0.81,0.0,0.1,0.0,0.0,0.0
364,406,Service,tug,0.74,10.0,246.0,33.0,5.0,6,1,0.24,0.14,0.0,0.14,0.18,0.14
365,407,Service,tug,0.77,7.0,226.0,35.0,6.0,4,1,0.27,0.17,0.0,0.17,0.23,0.17
366,408,Service,recreational,0.72,18.0,114.0,35.0,2.0,4,1,0.28,0.0,0.18,0.16,0.0,0.26
367,409,Cargo,vehicle_carrier,0.79,20.0,58.0,185.0,7.06,6,1,0.97,0.0,0.18,0.08,0.08,0.0
368,410,Cargo,containership,0.71,13.0,54.0,138.0,8.0,6,1,0.33,0.0,0.0,0.0,0.0,0.0
369,411,Service,tug,0.72,8.0,233.0,31.0,4.0,4,1,0.22,0.12,0.0,0.12,0.14,0.12
370,412,Cargo,tanker,0.79,8.65,144.0,138.0,8.0,5,1,0.46,0.06,0.0,0.0,0.0,0.03
371,413,Service,dredger,0.83,12.0,179.0,175.0,6.0,4,1,0.04,0.96,0.0,0.0,0.0,0.0
372,414,Cargo,vehicle_carrier,0.77,19.0,56.0,183.0,6.06,6,1,0.88,0.0,0.14,0.04,0.04,0.0
373,415,Service,dredger,0.83,12.0,163.0,169.0,5.0,4,1,0.04,0.92,0.0,0.0,0.0,0.0
374,416,Cargo,bulker,0.74,11.0,58.0,207.0,8.77,6,1,0.15,0.03,0.0,0.0,0.13,0.0
375,417,Cargo,tanker,0.89,11.22,137.0,125.0,10.0,4,1,0.59,0.19,0.0,0.0,0.0,0.09
376,418,Cargo,tanker,0.8,8.79,145.0,140.0,8.0,5,1,0.46,0.06,0.0,0.0,0.0,0.03
377,419,Cargo,bulker,0.77,12.0,69.0,254.0,10.62,4,1,0.22,0.06,0.0,0.0,0.16,0.0
378,420,Cargo,vehicle_carrier,0.75,16.0,50.0,170.0,5.07,6,1,0.81,0.0,0.1,0.0,0.0,0.0
379,421,Cargo,bulker,0.77,12.0,70.0,258.0,10.77,6,1,0.23,0.07,0.0,0.0,0.17,0.0
380,422,Service,dredger,0.79,9.0,169.0,119.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
381,423,Service,recreational,0.65,17.0,110.0,32.0,2.0,4,1,0.23,0.0,0.13,0.06,0.0,0.16
382,424,Cargo,tanker,0.83,9.75,149.0,283.0,10.0,5,1,0.51,0.11,0.0,0.0,0.0,0.06
383,425,Service,fishing,0.58,11.0,166.0,26.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
384,426,Service,fishing,0.53,7.0,150.0,22.0,2.0,3,1,0.02,0.0,0.02,0.02,0.02,0.22
385,427,Service,dredger,0.77,7.0,140.0,90.0,4.0,4,1,0.01,0.98,0.0,0.0,0.0,0.0
386,428,Cargo,containership,0.71,14.0,58.0,152.0,10.0,6,1,0.35,0.0,0.0,0.0,0.0,0.0
387,429,Service,tug,0.76,7.0,258.0,34.0,6.0,4,1,0.26,0.16,0.0,0.16,0.22,0.16
388,430,Cargo,bulker,0.74,11.0,58.0,209.0,8.86,6,1,0.15,0.03,0.0,0.0,0.13,0.0
389,431,Cargo,bulker,0.8,11.0,59.0,298.0,12.34,6,1,0.29,0.1,0.0,0.0,0.2,0.0
390,432,Cargo,containership,0.73,16.0,107.0,194.0,13.0,6,1,0.42,0.0,0.0,0.0,0.0,0.0
391,433,Cargo,containership,0.71,13.0,56.0,145.0,9.0,6,1,0.34,0.0,0.0,0.0,0.0,0.0
392,434,Service,dredger,0.79,8.0,166.0,116.0,5.0,4,1,0.02,0.95,0.0,0.0,0.0,0.0
393,435,Service,dredger,0.85,12.0,144.0,175.0,4.0,4,1,0.05,0.99,0.0,0.0,0.0,0.0
394,436,Cargo,containership,0.72,15.0,101.0,168.0,12.0,6,1,0.38,0.0,0.0,0.0,0.0,0.0
395,437,Cargo,tanker,0.83,9.62,144.0,138.0,10.0,5,1,0.51,0.11,0.0,0.0,0.0,0.05
396,438,Service,dredger,0.77,7.0,146.0,96.0,4.0,4,1,0.01,0.22,0.0,0.0,0.0,0.0
397,439,Service,recreational,0.66,18.0,112.0,33.0,2.0,4,1,0.24,0.0,0.14,0.08,0.0,0.18
398,440,Service,dredger,0.76,6.0,135.0,85.0,4.0,4,1,0.01,0.91,0.0,0.0,0.0,0.0
399,441,Cargo,bulker,0.73,10.0,55.0,197.0,8.39,4,1,0.14,0.02,0.0,0.0,0.12,0.0
400,442,Service,dredger,0.79,8.0,166.0,116.0,5.0,4,1,0.02,0.94,0.0,0.0,0.0,0.0
401,443,Cargo,tanker,0.86,10.53,139.0,128.0,7.0,4,1,0.55,0.15,0.0,0.0,0.0,0.08
402,444,Cargo,containership,0.72,14.0,59.0,159.0,10.0,6,1,0.36,0.0,0.0,0.0,0.0,0.0
403,445,Cargo,bulker,0.76,12.0,67.0,245.0,10.25,6,1,0.21,0.06,0.0,0.0,0.16,0.0
404,446,Service,dredger,0.83,12.0,181.0,170.0,5.0,4,1,0.04,0.28,0.0,0.0,0.0,0.0
405,447,Cargo,tanker,0.81,9.14,148.0,280.0,9.0,5,1,0.48,0.08,0.0,0.0,0.0,0.04
406,448,Service,recreational,0.64,17.0,108.0,32.0,2.0,4,1,0.23,0.0,0.13,0.06,0.0,0.16
407,449,Service,dredger,0.77,7.0,144.0,94.0,4.0,4,1,0.01,0.92,0.0,0.0,0.0,0.0
408,450,Cargo,tanker,0.76,7.89,138.0,126.0,6.0,4,1,0.42,0.02,0.0,0.0,0.0,0.01
409,451,Service,recreational,0.61,15.0,101.0,30.0,2.0,4,1,0.2,0.0,0.1,0.01,0.0,0.11
410,452,Cargo,containership,0.72,14.0,60.0,163.0,11.0,6,1,0.37,0.0,0.0,0.0,0.0,0.0
411,453,Service,dredger,0.77,7.0,150.0,100.0,4.0,4,1,0.01,0.95,0.0,0.0,0.0,0.0
412,454,Service,recreational,0.65,17.0,109.0,32.0,2.0,4,1,0.23,0.0,0.13,0.06,0.0,0.16
413,455,Cargo,bulker,0.79,12.0,122.0,290.0,12.03,4,1,0.28,0.09,0.0,0.0,0.19,0.0
414,456,Cargo,containership,0.74,15.0,103.0,294.0,13.0,6,1,0.45,0.0,0.0,0.0,0.0,0.0
415,457,Cargo,bulker,0.78,10.0,123.0,271.0,11.26,4,1,0.25,0.08,0.0,0.0,0.18,0.0
416,458,Service,fishing,0.51,6.0,144.0,21.0,2.0,3,1,0.01,0.0,0.01,0.01,0.01,0.21
417,459,Cargo,vehicle_carrier,0.8,17.0,60.0,174.0,7.4,6,1,0.99,0.0,0.2,0.1,0.1,0.0
418,460,Service,dredger,0.78,8.0,158.0,108.0,5.0,4,1,0.01,0.23,0.0,0.0,0.0,0.0
419,461,Service,recreational,0.71,17.0,110.0,35.0,2.0,4,1,0.27,0.0,0.17,0.14,0.0,0.24
420,462,Cargo,vehicle_carrier,0.78,20.0,59.0,172.0,6.48,6,1,0.92,0.0,0.16,0.06,0.06,0.0
421,463,Cargo,vehicle_carrier,0.76,17.0,53.0,176.0,5.51,6,1,0.84,0.0,0.12,0.02,0.02,0.0
422,464,Service,recreational,0.64,17.0,108.0,32.0,2.0,4,1,0.23,0.0,0.13,0.05,0.0,0.15
423,465,Cargo,containership,0.71,13.0,56.0,144.0,9.0,6,1,0.34,0.0,0.0,0.0,0.0,0.0
424,466,Service,dredger,0.84,6.0,126.0,76.0,4.0,4,1,0.04,0.29,0.0,0.0,0.0,0.0
425,467,Service,fishing,0.55,9.0,156.0,24.0,3.0,4,1,0.03,0.0,0.03,0.03,0.03,0.23
426,468,Cargo,bulker,0.8,10.0,56.0,201.0,12.48,4,1,0.3,0.1,0.0,0.0,0.2,0.0
427,469,Cargo,tanker,0.79,8.56,143.0,136.0,8.0,5,1,0.45,0.05,0.0,0.0,0.0,0.03
428,470,Cargo,bulker,0.72,10.0,51.0,180.0,7.71,4,1,0.11,0.0,0.0,0.0,0.1,0.0
429,471,Cargo,tanker,0.9,11.43,137.0,124.0,6.0,4,1,0.6,0.2,0.0,0.0,0.0,0.1
430,472,Cargo,bulker,0.79,10.0,54.0,288.0,11.92,4,1,0.28,0.09,0.0,0.0,0.19,0.0
431,473,Service,recreational,0.65,17.0,110.0,32.0,2.0,4,1,0.23,0.0,0.13,0.07,0.0,0.17
432,474,Service,fishing,0.51,6.0,144.0,21.0,2.0,3,1,0.01,0.0,0.01,0.01,0.01,0.21
433,475,Service,dredger,0.85,6.0,128.0,78.0,4.0,4,1,0.05,0.91,0.0,0.0,0.0,0.0
434,476,Cargo,tanker,0.82,9.49,150.0,285.0,9.0,5,1,0.5,0.1,0.0,0.0,0.0,0.05
435,477,Service,dredger,0.81,10.0,198.0,148.0,6.0,4,1,0.03,0.99,0.0,0.0,0.0,0.0
436,478,Service,dredger,0.85,8.0,161.0,111.0,5.0,4,1,0.05,0.3,0.0,0.0,0.0,0.0
437,479,Service,dredger,0.84,12.0,173.0,171.0,5.0,4,1,0.05,0.29,0.0,0.0,0.0,0.0
438,480,Service,tug,0.74,10.0,245.0,33.0,5.0,6,1,0.24,0.14,0.0,0.14,0.18,0.14
439,481,Cargo,containership,0.73,15.0,110.0,285.0,13.0,6,1,0.44,0.0,0.0,0.0,0.0,0.0
440,482,Cargo,bulker,0.76,12.0,66.0,241.0,10.11,6,1,0.2,0.05,0.0,0.0,0.15,0.0
441,483,Service,dredger,0.8,10.0,187.0,137.0,6.0,4,1,0.03,0.98,0.0,0.0,0.0,0.0
442,484,Cargo,bulker,0.77,12.0,68.0,248.0,10.36,4,1,0.21,0.06,0.0,0.0,0.16,0.0
443,485,Service,dredger,0.76,7.0,137.0,87.0,4.0,4,1,0.01,0.98,0.0,0.0,0.0,0.0
444,486,Cargo,tanker,0.78,8.19,140.0,131.0,7.0,4,1,0.43,0.03,0.0,0.0,0.0,0.02
445,487,Cargo,containership,0.74,16.0,108.0,303.0,11.0,6,1,0.46,0.0,0.0,0.0,0.0,0.0
446,488,Cargo,containership,0.71,12.0,53.0,134.0,7.0,6,1,0.32,0.0,0.0,0.0,0.0,0.0
447,489,Service,recreational,0.74,16.0,105.0,31.0,2.0,4,1,0.29,0.0,0.19,0.19,0.0,0.29
448,490,Service,tug,0.79,10.0,250.0,35.0,6.0,6,1,0.29,0.19,0.0,0.19,0.28,0.19
449,491,Service,recreational,0.67,18.0,115.0,33.0,2.0,4,1,0.25,0.0,0.15,0.1,0.0,0.2
450,492,Service,recreational,0.72,15.0,119.0,34.0,2.0,4,1,0.28,0.0,0.18,0.16,0.0,0.26
451,493,Service,recreational,0.73,17.0,108.0,32.0,2.0,4,1,0.29,0.0,0.19,0.18,0.0,0.28
452,494,Service,recreational,0.69,16.0,120.0,35.0,2.0,4,1,0.26,0.0,0.16,0.13,0.0,0.23
453,495,Service,recreational,0.7,16.0,105.0,35.0,2.0,4,1,0.27,0.0,0.17,0.14,0.0,0.24
454,496,Service,fishing,0.65,12.0,186.0,27.0,4.0,5,1,0.07,0.0,0.07,0.07,0.07,0.27
455,497,Cargo,containership,0.71,14.0,58.0,153.0,10.0,6,1,0.35,0.0,0.0,0.0,0.0,0.0
